,State,cases,deaths
0,Alabama,26912,785
1,Alaska,751,10
2,Arizona,39298,1228
3,Arkansas,13191,188
4,California,159098,5202
5,Colorado,29427,1617
6,Connecticut,45349,4210
7,Delaware,10403,424
8,District of Columbia,9818,520
9,Florida,80101,2992
10,Georgia,56302,2492
11,Guam,1155,6
12,Hawaii,728,17
13,Idaho,3543,89
14,Illinois,134866,6608
15,Indiana,41780,2447
16,Iowa,24263,670
17,Kansas,11569,246
18,Kentucky,12899,530
19,Louisiana,47818,3042
20,Maine,2819,101
21,Maryland,63004,2982
22,Massachusetts,105885,7664
23,Michigan,66466,6039
24,Minnesota,30913,1344
25,Mississippi,20152,915
26,Missouri,16930,903
27,Montana,614,19
28,Nebraska,17031,236
29,Nevada,11673,467
30,New Hampshire,5364,326
31,New Jersey,167426,12727
32,New Mexico,9933,447
33,New York,389349,30683
34,North Carolina,46105,1185
35,North Dakota,3127,77
36,Northern Mariana Islands,30,2
37,Ohio,42010,2597
38,Oklahoma,8645,363
39,Oregon,6105,182
40,Pennsylvania,84077,6337
41,Puerto Rico,5951,147
42,Rhode Island,16164,865
43,South Carolina,19990,607
44,South Dakota,5966,77
45,Tennessee,31623,487
46,Texas,95973,2057
47,Utah,15077,145
48,Vermont,1131,55
49,Virgin Islands,72,6
50,Virginia,55331,1570
51,Washington,27949,1234
52,West Virginia,2341,88
53,Wisconsin,23328,704
54,Wyoming,1089,18
