,State,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic or Latino,cases,deaths
0,Alabama,2369271,2518600,288589,290369,321430,332209,317810,635976,593480,626173,332700,319472,493396,251025,85242,3306838,1307040,22063,65095,1797,185038,26912,785
1,Alaska,382952,354486,52173,52544,49747,48514,49107,117688,97020,89333,47300,46012,59630,21000,7370,474555,25197,111371,46381,7958,71976,751,10
2,Arizona,3565129,3606517,434032,441613,488738,477306,489653,979328,882618,852462,430467,436326,727956,398408,132739,5590505,336340,330599,237873,15661,660668,39298,1228
3,Arkansas,1476680,1537145,188092,192523,203502,208021,199748,392937,367053,370343,196034,187896,296808,154699,56169,2306096,456714,20951,47548,9398,173118,13191,188
4,California,19673553,19883492,2428493,2398894,2646096,2557470,2710448,6034398,5264457,5068026,2485050,2296376,3286461,1651296,729580,23535388,2283850,302792,5821585,155739,7457691,159098,5202
5,Colorado,2864761,2830803,335642,352145,364535,368833,374122,889656,781388,710218,362167,349003,502418,218031,87406,4790677,237578,55146,180277,7585,424301,29427,1617
6,Connecticut,1740533,1832132,181224,191879,224026,242294,239846,447891,424573,494642,260520,252623,343060,182391,87696,2688136,391552,9507,165855,1017,316598,45349,4210
7,Delaware,467924,499247,54335,51828,62410,59345,59553,127399,112393,122887,68726,67539,107895,54257,18604,659781,217594,4397,39023,896,45480,10403,424
8,District of Columbia,334208,368247,45490,32857,33386,37568,52978,163467,105535,75526,36869,33153,48833,25892,10901,296747,319777,1932,27538,397,56064,9818,520
9,Florida,10404676,10894649,1135392,1127602,1244592,1234024,1255590,2758515,2586704,2741968,1449290,1406864,2404234,1393550,561000,15899574,3410741,59870,593634,12841,1322665,80101,2992
10,Georgia,5120290,5399185,645488,683042,739018,754377,719378,1442243,1401044,1396330,667863,614264,896948,416680,142800,6127645,3319691,34485,436051,14049,587554,56302,2492
11,Hawaii,710702,709789,87437,84434,84576,77860,90595,201025,181541,171390,86295,93871,149372,72022,40073,345652,28325,3237,534479,144971,363827,728,17
12,Idaho,882158,872050,113693,123959,129947,127012,115850,228080,219713,201135,111993,103385,168397,81341,29703,1576846,12075,23026,27026,2763,112472,3543,89
13,Illinois,6266062,6475018,759456,762237,838140,835845,839026,1765517,1644390,1636054,855616,814251,1143329,587651,259568,9135145,1793079,35846,717938,5317,1053755,134866,6608
14,Indiana,3295973,3395905,417774,430155,451395,459222,465439,874246,826473,841750,447600,426678,613699,310870,126577,5539927,637277,14040,154220,3470,342944,41780,2447
15,Iowa,1564888,1591257,197883,197454,215222,220659,220135,394507,383617,369396,213657,205797,299333,162869,75616,2846099,115137,11494,79971,3463,99981,24263,670
16,Kansas,1449745,1461765,186990,190475,208695,204915,209009,376422,359447,339683,189925,183758,264050,134355,63786,2446823,171141,26829,82444,2929,181344,11569,246
17,Kentucky,2199021,2269381,273489,279978,285833,288944,300744,579520,553107,575373,304711,295311,435465,217279,78648,3875023,354761,8470,65300,4943,159905,12899,530
18,Louisiana,2276530,2383448,301857,297439,317930,308126,308893,645255,589714,567313,303589,299252,434897,211869,73844,2877115,1509407,25657,76255,1133,170411,47818,3042
19,Maine,655734,682670,63410,67860,72549,77325,73878,159944,153436,180466,105214,108253,163953,77267,34849,1261453,18954,8566,15683,465,33283,2819,101
20,Maryland,2930350,3112368,361435,364571,385477,379728,384168,826526,775079,822740,418074,393879,546442,276084,108515,3305047,1810885,13433,378985,7311,527057,63004,2982
21,Massachusetts,3350887,3551262,357223,369278,392598,457341,492981,990332,842140,921551,490589,450575,656546,327266,153729,5335175,537523,16198,472403,2775,538075,105885,7664
22,Michigan,4926816,5069099,569183,587011,619055,660528,690292,1291353,1165562,1290759,700756,700963,1009186,506974,204293,7825285,1376751,53012,325828,3907,411132,66466,6039
23,Minnesota,2793980,2817199,354932,360713,370367,356388,359550,759541,714967,689680,401080,355327,510486,262775,115373,4629375,367653,60983,273126,2396,277646,30913,1344
24,Mississippi,1446829,1539701,177761,191591,216172,219044,204679,379027,380696,359664,190823,192650,284356,143707,46360,1735455,1135599,13234,26142,1372,74728,20152,915
25,Missouri,3003165,3123287,370408,373737,401199,391923,406398,819132,742343,753354,419591,413293,596623,313646,124805,5035197,704327,27705,121417,7385,230421,16930,903
26,Montana,534782,527523,61688,61732,67916,67386,67822,133976,128663,121090,72061,79732,121055,58431,20753,941438,5056,68013,8517,990,38291,614,19
27,Nebraska,961213,968055,131156,129861,136769,132609,132433,256755,244896,218816,122864,119111,172853,89193,41952,1666990,91221,18555,45779,1289,105434,17031,236
28,Nevada,1522374,1512018,184539,188880,201625,182398,180376,442713,405128,396167,191059,186387,291996,138844,44280,1924976,280385,44666,250137,19612,514616,11673,467
29,New Hampshire,669442,687016,62857,68935,76872,91832,85214,167822,154965,189718,111581,101506,146599,67733,30824,1253931,23432,3562,36048,515,38970,5364,326
30,New Jersey,4350386,4558134,517694,517905,573092,556312,554274,1151093,1147591,1233599,634688,583983,812353,430178,195758,5956539,1207995,21131,868213,2909,851733,167426,12727
31,New Mexico,1039641,1055787,118494,127795,151078,142717,138863,279153,256261,239928,136486,136173,221209,106536,40735,1599938,46064,200659,34155,2465,212147,9933,447
