,State,cases,White Cases,Black or African American Cases,Asian Cases,American Indian and Alaska Native Cases,Native Hawaiian and Other Pacific Islander Cases,Hispanic or Latino Cases,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,White Cases Per 100K,Black or African American Cases Per 100K,Asian Cases Per 100K,American Indian and Alaska Native Cases Per 100K,Native Hawaiian and Other Pacific Islander Cases Per 100K,Hispanic or Latino Cases Per 100K
0,Alaska,1479,633,35,63,177,39,87,737438,474555,25197,111371,46381,7958,71976,133.3881215033031,138.9054252490376,135.83148271921692,158.92826678399226,490.0728826338276,120.87362454151385
1,Alabama,53587,18094,17650,216,0,0,4846,4887871,3306838,1307040,22063,65095,1797,185038,547.1692293363025,1350.3794834129023,331.82272063906595,0.0,0.0,2618.9215188231606
2,Arkansas,28367,13542,6042,395,74,1743,6851,3013825,2306096,456714,20951,47548,9398,173118,587.2262039394717,1322.9285723669518,830.7394632792125,353.205097608706,18546.499255160674,3957.4163287468664
3,Arizona,122467,19895,2709,913,7783,0,28514,7171646,5590505,336340,330599,237873,15661,660668,355.87124955616713,805.434976511863,383.81825596011316,2354.2115977362305,0.0,4315.934781160886
4,California,320804,36481,9021,12473,446,1243,112854,39557045,23535388,2283850,302792,5821585,155739,7457691,155.00488031044995,394.9909144646102,214.2543654348429,147.2958334434199,798.1302050225056,1513.256583036224
5,Colorado,36913,11400,1736,783,183,118,12604,5695564,4790677,237578,55146,180277,7585,424301,237.96219198246928,730.7073887312798,434.3316119083411,331.84637145033184,1555.7020435069217,2970.5327114477695
6,Connecticut,47287,16610,6189,684,45,0,8973,3572665,2688136,391552,9507,165855,1017,316598,617.9002848070187,1580.6329682902908,412.4084290494709,473.33543704638686,0.0,2834.19351985799
7,District of Columbia,10847,2218,5354,169,27,29,3037,702455,296747,319777,1932,27538,397,56064,747.4380532911874,1674.2917720786672,613.6974362698816,1397.5155279503106,7304.785894206549,5417.023401826484
8,Delaware,12804,4135,3266,182,0,0,3447,967171,659781,217594,4397,39023,896,45480,626.7231096378949,1500.9605044256734,466.3916152012916,0.0,0.0,7579.155672823219
9,Florida,269811,56326,38335,0,0,0,69473,21299325,15899574,3410741,59870,593634,12841,1322665,354.2610638498868,1123.949311894395,0.0,0.0,0.0,5252.501578252996
10,Georgia,116926,27669,30945,1542,67,108,17179,10519475,6127645,3319691,34485,436051,14049,587554,451.5437823176767,932.165071990134,353.62835998541453,194.28737132086414,768.7379884689302,2923.8163641129154
11,Hawaii,1220,205,10,340,0,346,0,1420491,345652,28325,3237,534479,144971,363827,59.3082059412357,35.3045013239188,63.613350571304025,0.0,238.6684233398404,0.0
12,Iowa,35712,22632,3182,2121,353,353,7779,3156145,2846099,115137,11494,79971,3463,99981,795.1937019759328,2763.664156613426,2652.2114266421577,3071.1675656864454,10193.473866589662,7780.478290875266
13,Idaho,10902,5355,150,95,95,36,2091,1754208,1576846,12075,23026,27026,2763,112472,339.6019649350666,1242.2360248447203,351.5133575075853,412.57708677147576,1302.9315960912052,1859.1293833131801
14,Illinois,155048,33468,25828,4317,226,385,48999,12741080,9135145,1793079,35846,717938,5317,1053755,366.36528484222197,1440.4273319803533,601.3054052021205,630.4748089047592,7240.925333834869,4649.942349028
15,Indiana,51612,23494,6099,738,0,0,5805,6691878,5539927,637277,14040,154220,3470,342944,424.0850105064561,957.040658928535,478.53715471404485,0.0,0.0,1692.6961836334794
16,Kansas,18611,11964,1474,817,122,0,6892,2911510,2446823,171141,26829,82444,2929,181344,488.9605827638534,861.2781273920334,990.9756925913347,454.73182004547317,0.0,3800.511734603847
17,Kentucky,19389,9876,1801,461,67,35,2101,4468402,3875023,354761,8470,65300,4943,159905,254.8630033937863,507.6657242481558,705.9724349157734,791.0271546635183,708.0720210398543,1313.9051311716332
18,Louisiana,78122,0,0,0,0,0,0,4659978,2877115,1509407,25657,76255,1133,170411,0.0,0.0,0.0,0.0,0.0,0.0
19,Massachusetts,111597,34076,10493,2334,0,0,21803,6902149,5335175,537523,16198,472403,2775,538075,638.7044473705174,1952.1025146830927,494.0696820299617,0.0,0.0,4052.03735538726
20,Maryland,73109,14797,21160,1426,0,0,19452,6042718,3305047,1810885,13433,378985,7311,527057,447.70921563293956,1168.4894402460675,376.26819003390636,0.0,0.0,3690.6824119592375
21,Maine,3539,2127,816,84,6,2,138,1338404,1261453,18954,8566,15683,465,33283,168.6150811801946,4305.1598607154165,535.6118089651214,70.04436142890498,430.10752688172045,414.62608538893727
22,Michigan,76776,30909,21485,1630,296,0,6142,9995915,7825285,1376751,53012,325828,3907,411132,394.98880871431516,1560.5581546699439,500.2639429392194,558.3641439674036,0.0,1493.92409250557
23,Minnesota,42281,17997,8665,2933,345,94,8939,5611179,4629375,367653,60983,273126,2396,277646,388.7565816119886,2356.8419134346786,1073.8633451227638,565.7314333502779,3923.2053422370623,3219.567362756892
24,Missouri,27433,12322,6995,0,0,0,4180,6126452,5035197,704327,27705,121417,7385,230421,244.71733677947455,993.1466492126527,0.0,0.0,0.0,1814.0707661194074
25,Mississippi,35419,9752,16759,111,1105,0,1636,2986530,1735455,1135599,13234,26142,1372,74728,561.9275636648601,1475.7850262284485,424.6040853798485,8349.705304518664,0.0,2189.2730970988114
26,Montana,1758,1057,7,2,187,0,99,1062305,941438,5056,68013,8517,990,38291,112.27505157004498,138.4493670886076,23.482446870963955,274.9474365194889,0.0,258.5463947141626
27,North Carolina,85701,32417,13921,1131,652,186,24999,10383620,7098569,2222533,120845,306682,10218,624773,456.66950620611,626.3574039170621,368.78590853066044,539.5341139476188,1820.3170874926602,4001.2932697155607
28,North Dakota,4334,0,0,0,0,0,0,760077,651687,25896,41270,13749,339,27136,0.0,0.0,0.0,0.0,0.0,0.0
29,Nebraska,21172,12100,1300,1200,243,32,9000,1929268,1666990,91221,18555,45779,1289,105434,725.8591833184363,1425.1104460595695,2621.2892374232724,1309.6200485044462,2482.544608223429,8536.145835309293
30,New Hampshire,6054,3740,309,153,0,0,587,1356458,1253931,23432,3562,36048,515,38970,298.2620255819499,1318.7094571526118,424.4340878828229,0.0,0.0,1506.286887349243
31,New Jersey,175298,37558,17880,5238,0,0,31946,8908520,5956539,1207995,21131,868213,2909,851733,630.533939255665,1480.1385767325196,603.3081743765642,0.0,0.0,3750.7059137077
32,New Mexico,15028,1911,284,105,6661,0,5202,2095428,1599938,46064,200659,34155,2465,212147,119.44212838247482,616.5335185828412,307.42204655248133,3319.562043068091,0.0,2452.0733265141625
