State,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Asian Chinese,Asian Filipino,Asian Japanese,Asian Korean,Asian Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population!!White,Total population_Black or African American,Total population_American Indian and Alaska Native,Total population_Asian,Total population_Native Hawaiian and Other Pacific Islander,Total population_Some other race,Total population_HISPANIC OR LATINO,Total population_Not Hispanic or Latino
Illinois,12741080,6266062,6475018,759456,762237,838140,835845,839026,1765517,1644390,1636054,855616,814251,1143329,587651,259568,12741080,9135145,1793079,35846,717938,256122,132447,124649,17958,56597,35367,94798,5317,712778,9431680,1952694,100555,831487,16444,776129,12741080,10532212
Iowa,3156145,1564888,1591257,197883,197454,215222,220659,220135,394507,383617,369396,213657,205797,299333,162869,75616,3156145,2846099,115137,11494,79971,12415,13121,5029,1494,6717,11705,29490,3463,30713,2909568,151562,27116,98900,6579,37007,3156145,2964672
Missouri,6126452,3003165,3123287,370408,373737,401199,391923,406398,819132,742343,753354,419591,413293,596623,313646,124805,6126452,5035197,704327,27705,121417,30435,29621,11302,2388,11526,17208,18937,7385,56557,5196815,794984,79954,159166,13760,66685,6126452,5872978
Nevada,3034392,1522374,1512018,184539,188880,201625,182398,180376,442713,405128,396167,191059,186387,291996,138844,44280,3034392,1924976,280385,44666,250137,11123,39196,129739,11514,11750,17744,29071,19612,358786,2050048,337660,71817,318010,41746,390057,3034392,2153247
Pennsylvania,12807060,6271620,6535440,700416,708163,775827,815621,812406,1695073,1496113,1659541,916749,894782,1311159,707570,313640,12807060,10256084,1428406,21418,455027,143539,119817,25128,5056,39144,40920,81423,5008,307572,10543254,1632035,89728,536235,18764,355417,12807060,11832297
Utah,3161105,1592457,1568648,250194,257110,270952,250173,260774,463344,437953,319031,152425,147852,212206,103828,35263,3161105,2708195,40365,34678,75898,12079,14285,8034,6208,6756,9663,18873,29362,171456,2800377,58241,56454,115638,47609,191869,3161105,2710885
West Virginia,1805832,894657,911175,93922,97203,107390,112776,113760,209002,218803,233109,127449,131202,215290,105707,40219,1805832,1679773,68679,2629,13459,2331,3893,1994,686,1396,1137,2022,451,6430,1712618,89894,9599,19875,2577,8067,1805832,1780263
Colorado,5695564,2864761,2830803,335642,352145,364535,368833,374122,889656,781388,710218,362167,349003,502418,218031,87406,5695564,4790677,237578,55146,180277,35512,33422,19141,9912,22998,25088,34204,7585,196831,4997140,311745,126983,254210,19880,237478,5695564,4460437
Georgia,10519475,5120290,5399185,645488,683042,739018,754377,719378,1442243,1401044,1396330,667863,614264,896948,416680,142800,10519475,6127645,3319691,34485,436051,141915,68404,26109,9166,53227,60114,77116,14049,301148,6365137,3487272,92014,509357,26155,348034,10519475,9497721
Idaho,1754208,882158,872050,113693,123959,129947,127012,115850,228080,219713,201135,111993,103385,168397,81341,29703,1754208,1576846,12075,23026,27026,2942,5862,6703,2918,895,3349,4357,2763,59217,1626499,22173,41448,45610,7162,71096,1754208,1531744
Maryland,6042718,2930350,3112368,361435,364571,385477,379728,384168,826526,775079,822740,418074,393879,546442,276084,108515,6042718,3305047,1810885,13433,378985,99035,89525,49140,6545,45273,28104,61363,7311,304042,3489566,1932303,60221,459537,15994,335682,6042718,5414283
New Jersey,8908520,4350386,4558134,517694,517905,573092,556312,554274,1151093,1147591,1233599,634688,583983,812353,430178,195758,8908520,5956539,1207995,21131,868213,387244,153447,120222,12448,99165,19085,76602,2909,604334,6154690,1335579,56649,956049,11641,664813,8908520,7069161
New Mexico,2095428,1039641,1055787,118494,127795,151078,142717,138863,279153,256261,239928,136486,136173,221209,106536,40735,2095428,1599938,46064,200659,34155,6608,6222,7927,1518,2490,5779,3611,2465,144961,1658939,61079,226911,47195,4997,168030,2095428,1066199
Ohio,11689442,5732095,5957347,693129,691126,752239,773272,752641,1533104,1396763,1488201,816288,796516,1152361,595517,248285,11689442,9470940,1446306,25672,271762,95049,59617,18275,11629,17893,17619,51680,4228,112136,9794421,1674699,104484,345724,13486,141318,11689442,11233524
Alaska,737438,382952,354486,52173,52544,49747,48514,49107,117688,97020,89333,47300,46012,59630,21000,7370,737438,474555,25197,111371,46381,1376,2988,28497,749,3484,810,8477,7958,9780,529846,36659,149430,63855,14092,13875,737438,684369
Florida,21299325,10404676,10894649,1135392,1127602,1244592,1234024,1255590,2758515,2586704,2741968,1449290,1406864,2404234,1393550,561000,21299325,15899574,3410741,59870,593634,171778,112990,107199,17542,30485,72431,81209,12841,708740,16428821,3731939,171405,774567,43479,818951,21299325,15736873
