,State,cases,deaths,Labor Force w/ Bachelor 2018,Labor Force Participants 2018,Percent of Labor Force w/ Bachelor 2018
0,Alabama,387786,14345,624760,2219105,28.153692592283825
1,Alaska,18316,367,108145,371180,29.13545988469206
2,Arizona,426614,18857,1014830,3396895,29.87522428570798
3,Arkansas,161569,3301,347335,1379145,25.184806528682625
4,California,2664110,102387,7115070,20038675,35.506688940261775
5,Colorado,766512,37828,1290890,3105290,41.570674558575845
6,Connecticut,1314995,104185,796610,1928920,41.29823942931796
7,Delaware,234327,7813,156250,486290,32.131032922741575
8,District of Columbia,229466,10822,270905,412055,65.74486415648396
9,Florida,1726811,63147,3194970,10265785,31.122510358438248
10,Georgia,1282091,54209,1770780,5203360,34.031471971956584
11,Hawaii,31433,681,238705,712135,33.519627598699685
12,Idaho,103987,2828,233510,840240,27.79086927544511
13,Illinois,2843621,122000,2506845,6662825,37.62435603516526
14,Indiana,920434,53042,979960,3388035,28.924140394063226
15,Iowa,396980,9203,505035,1676715,30.120503484491994
16,Kansas,231885,6527,512860,1499745,34.19648006827828
17,Kentucky,246480,11851,591910,2105670,28.110292685938443
18,Louisiana,1443404,90609,582565,2152800,27.060804533630623
19,Maine,61284,2451,230960,703405,32.83456898941577
20,Maryland,1173802,56126,1373420,3251245,42.24289464497446
21,Massachusetts,2929874,167711,1788060,3803705,47.00837735839136
22,Michigan,2023047,171867,1578260,4973990,31.73026081676883
23,Minnesota,377850,18934,1144810,3078155,37.1914344794203
24,Mississippi,358459,15047,342455,1326205,25.82217681278535
25,Missouri,395952,17924,974435,3049455,31.95439840889602
26,Montana,23875,676,172420,542060,31.808286905508616
27,Nebraska,259429,3535,341565,1035220,32.99443596530206
28,Nevada,259808,11975,368865,1531365,24.087333849212957
29,New Hampshire,117245,4507,277750,755905,36.74403529544056
30,New Jersey,5645458,332869,2057040,4718205,43.59793607950481
31,New Mexico,177827,6867,255880,931955,27.45626130017007
32,New York,15041806,1081194,4146075,10004515,41.44203891942787
33,North Carolina,568719,19258,1733090,5125645,33.81213486302699
34,North Dakota,55932,1219,122840,412510,29.77867203219316
35,Ohio,908834,47879,1845710,5930010,31.124905354291137
36,Oklahoma,187462,10394,499750,1873105,26.68029822140243
37,Oregon,134979,5067,735305,2135975,34.42479429768607
38,Pennsylvania,2320771,127278,2297270,6570180,34.96509989071836
39,Rhode Island,401931,14251,200310,558360,35.874704491725765
40,South Carolina,313173,11859,731530,2444595,29.924384202700242
41,South Dakota,122292,1121,137995,467570,29.513227965866072
42,Tennessee,583792,10198,995435,3315105,30.027254038710687
43,Texas,1553075,41267,4433840,14185655,31.255800313767672
44,Utah,245859,2472,499305,1583735,31.5270547155932
45,Vermont,45230,2320,137270,344075,39.89537164862312
46,Virginia,866807,28754,1797625,4364135,41.190866002082885
47,Washington,807848,42371,1440765,3858830,37.336835258355514
48,West Virginia,56158,1950,201375,787455,25.57288987942168
49,Wisconsin,393823,15587,962100,3091945,31.11633615733786
50,Wyoming,28407,281,78605,299120,26.278751002941963
