,State,cases,deaths,4th 2015 Math,4th 2015 Science,8th 2015 Math,8th 2015 Science
0,Alabama,387786,14345,231,145,267,141
1,Alaska,18316,367,236,154,280,154
2,Arizona,426614,18857,238,149,283,148
3,Arkansas,161569,3301,235,150,275,148
4,California,2664110,102387,232,140,275,143
5,Colorado,766512,37828,242,154,286,154
6,Connecticut,1314995,104185,240,154,284,155
7,Delaware,234327,7813,239,150,280,149
8,District of Columbia,229466,10822,231,154,263,154
9,Florida,1726811,63147,243,158,275,153
10,Georgia,1282091,54209,236,152,279,152
11,Hawaii,31433,681,238,146,279,144
12,Idaho,103987,2828,239,156,284,160
13,Illinois,2843621,122000,237,151,282,150
14,Indiana,920434,53042,248,159,287,156
15,Iowa,396980,9203,243,159,286,159
16,Kansas,231885,6527,241,154,284,155
17,Kentucky,246480,11851,242,160,278,157
18,Louisiana,1443404,90609,234,154,268,154
19,Maine,61284,2451,242,158,285,160
20,Maryland,1173802,56126,239,153,283,155
21,Massachusetts,2929874,167711,251,161,297,162
22,Michigan,2023047,171867,236,154,278,155
23,Minnesota,377850,18934,250,157,294,162
24,Mississippi,358459,15047,234,140,271,140
25,Missouri,395952,17924,239,155,281,159
26,Montana,23875,676,241,159,287,161
27,Nebraska,259429,3535,244,162,286,160
28,Nevada,259808,11975,234,142,275,149
29,New Hampshire,117245,4507,249,165,294,165
30,New Jersey,5645458,332869,245,155,293,156
31,New Mexico,177827,6867,231,143,271,143
32,New York,15041806,1081194,237,150,280,150
33,North Carolina,568719,19258,244,154,281,150
34,North Dakota,55932,1219,245,161,288,161
35,Ohio,908834,47879,244,157,285,157
36,Oklahoma,187462,10394,240,153,275,151
37,Oregon,134979,5067,238,153,283,156
38,Pennsylvania,2320771,127278,243,154,284,154
39,Rhode Island,401931,14251,238,152,281,151
40,South Carolina,313173,11859,237,155,276,151
41,South Dakota,122292,1121,240,157,285,160
42,Tennessee,583792,10198,241,157,278,156
43,Texas,1553075,41267,244,155,284,156
44,Utah,245859,2472,243,160,286,166
45,Vermont,45230,2320,243,163,290,163
46,Virginia,866807,28754,247,165,288,160
47,Washington,807848,42371,245,158,287,157
48,West Virginia,56158,1950,235,151,271,150
49,Wisconsin,393823,15587,243,156,289,159
50,Wyoming,28407,281,247,161,287,160
