,State,cases,deaths,Public School Expenditure 2016(Thousands),State GDP(Millions),School Expenditures per State GDP(Percent)
0,Alabama,387786,14345,6885677.0,203398.0,3.3853218812377706
1,Alaska,18316,367,2319662.0,49429.0,4.692917113435433
2,Arizona,426614,18857,8551673.0,311397.0,2.746228447929813
3,Arkansas,161569,3301,4872214.0,120090.0,4.0571354817220415
4,California,2664110,102387,72003129.0,2663396.0,2.703433098194936
5,Colorado,766512,37828,8648369.0,329097.0,2.6279087928483094
6,Connecticut,1314995,104185,10551327.0,262979.0,4.012231775160754
7,Delaware,234327,7813,1941408.0,70380.0,2.75846547314578
8,District of Columbia,229466,10822,1775833.0,129817.0,1.367951038769961
9,Florida,1726811,63147,25621239.0,938370.0,2.730398350330893
10,Georgia,1282091,54209,17283295.0,538238.0,3.2110878458971683
11,Hawaii,31433,681,2502117.0,85867.0,2.9139448216427732
12,Idaho,103987,2828,2097992.0,69313.0,3.0268376783575954
13,Illinois,2843621,122000,29253457.0,805434.0,3.6320116856253897
14,Indiana,920434,53042,10144064.0,338227.0,2.9991881192217065
15,Iowa,396980,9203,5663444.0,180351.0,3.1402343208521164
16,Kansas,231885,6527,5065968.0,155682.0,3.254048637607431
17,Kentucky,246480,11851,6750052.0,195080.0,3.4601455812999795
18,Louisiana,1443404,90609,8027058.0,228087.0,3.519296584198135
19,Maine,61284,2451,2579299.0,59604.0,4.327392456882088
20,Maryland,1173802,56126,12774063.0,384156.0,3.325228032361853
21,Massachusetts,2929874,167711,16374676.0,519741.0,3.1505453677889568
22,Michigan,2023047,171867,16977163.0,490183.0,3.463433656409953
23,Minnesota,377850,18934,10687048.0,338638.0,3.1558915420006026
24,Mississippi,358459,15047,4234977.0,106891.0,3.9619584436482023
25,Missouri,395952,17924,9545816.0,296070.0,3.2241753639342052
26,Montana,23875,676,1652848.0,45550.0,3.628645444566411
27,Nebraska,259429,3535,3911805.0,116056.0,3.370618494519887
28,Nevada,259808,11975,4092457.0,150436.0,2.720397378287112
29,New Hampshire,117245,4507,2833893.0,78402.0,3.614567230427795
30,New Jersey,5645458,332869,26825114.0,581271.0,4.614906644233069
31,New Mexico,177827,6867,3343152.0,91004.0,3.6736319282668894
32,New York,15041806,1081194,59161439.0,1541524.0,3.837853903020647
33,North Carolina,568719,19258,13466942.0,518248.0,2.5985516586653494
34,North Dakota,55932,1219,1451309.0,50772.0,2.8584830221381865
35,Ohio,908834,47879,20484182.0,621363.0,3.2966530031559653
36,Oklahoma,187462,10394,5606044.0,178510.0,3.1404649599462218
37,Oregon,134979,5067,6238574.0,215153.0,2.899598890092167
38,Pennsylvania,2320771,127278,26045127.0,724266.0,3.596072023262172
39,Rhode Island,401931,14251,2283927.0,57727.0,3.956427668162212
40,South Carolina,313173,11859,7669725.0,212675.0,3.6063124485717646
41,South Dakota,122292,1121,1253268.0,48462.0,2.586083942057695
42,Tennessee,583792,10198,8886994.0,334385.0,2.657713115121791
43,Texas,1553075,41267,49577688.0,1564396.0,3.169126487155426
44,Utah,245859,2472,4539291.0,157902.0,2.8747520614051756
45,Vermont,45230,2320,1671433.0,31635.0,5.283492966650861
46,Virginia,866807,28754,14677698.0,493866.0,2.972000097192356
47,Washington,807848,42371,12483668.0,492943.0,2.5324769800970905
48,West Virginia,56158,1950,3169684.0,69814.0,4.540183917265878
49,Wisconsin,393823,15587,10122041.0,312141.0,3.242778423853323
50,Wyoming,28407,281,1556321.0,35905.0,4.334552290767303
