,State,cases,deaths,Public School Salary 2018(Dollars)
0,Alabama,387786,14345,50568.0
1,Alaska,18316,367,69682.0
2,Arizona,426614,18857,48723.0
3,Arkansas,161569,3301,50544.0
4,California,2664110,102387,80680.0
5,Colorado,766512,37828,52701.0
6,Connecticut,1314995,104185,74517.0
7,Delaware,234327,7813,61795.0
8,District of Columbia,229466,10822,76486.0
9,Florida,1726811,63147,48168.0
10,Georgia,1282091,54209,56329.0
11,Hawaii,31433,681,57866.0
12,Idaho,103987,2828,49225.0
13,Illinois,2843621,122000,65721.0
14,Indiana,920434,53042,50614.0
15,Iowa,396980,9203,57018.0
16,Kansas,231885,6527,49754.0
17,Kentucky,246480,11851,52952.0
18,Louisiana,1443404,90609,50359.0
19,Maine,61284,2451,53815.0
20,Maryland,1173802,56126,69627.0
21,Massachusetts,2929874,167711,80357.0
22,Michigan,2023047,171867,61911.0
23,Minnesota,377850,18934,57782.0
24,Mississippi,358459,15047,44926.0
25,Missouri,395952,17924,49304.0
26,Montana,23875,676,52776.0
27,Nebraska,259429,3535,54213.0
28,Nevada,259808,11975,54280.0
29,New Hampshire,117245,4507,57833.0
30,New Jersey,5645458,332869,69917.0
31,New Mexico,177827,6867,47152.0
32,New York,15041806,1081194,84227.0
33,North Carolina,568719,19258,51231.0
34,North Dakota,55932,1219,52850.0
35,Ohio,908834,47879,58000.0
36,Oklahoma,187462,10394,46300.0
37,Oregon,134979,5067,63061.0
38,Pennsylvania,2320771,127278,67535.0
39,Rhode Island,401931,14251,66758.0
40,South Carolina,313173,11859,50182.0
41,South Dakota,122292,1121,47631.0
42,Tennessee,583792,10198,50900.0
43,Texas,1553075,41267,53334.0
44,Utah,245859,2472,49655.0
45,Vermont,45230,2320,60556.0
46,Virginia,866807,28754,51994.0
47,Washington,807848,42371,55693.0
48,West Virginia,56158,1950,45642.0
49,Wisconsin,393823,15587,51469.0
50,Wyoming,28407,281,58352.0
