,State,cases,deaths
0,Alabama,59067,1211
1,Alaska,1954,15
2,Arizona,131411,2442
3,Arkansas,30297,335
4,California,355497,7368
5,Colorado,38240,1745
6,Connecticut,47636,4380
7,Delaware,13050,521
8,District of Columbia,11026,571
9,Florida,301802,4520
10,Georgia,118147,3030
11,Guam,1282,6
12,Hawaii,1271,21
13,Idaho,12599,111
14,Illinois,158451,7435
15,Indiana,54698,2785
16,Iowa,36536,777
17,Kansas,21157,308
18,Kentucky,21148,668
19,Louisiana,84241,3461
20,Maine,3578,114
21,Maryland,75576,3341
22,Massachusetts,112347,8368
23,Michigan,79081,6333
24,Minnesota,43782,1558
25,Mississippi,38567,1290
26,Missouri,31737,1141
27,Montana,2149,34
28,Nebraska,21979,302
29,Nevada,30587,619
30,New Hampshire,6113,394
31,New Jersey,178252,15634
32,New Mexico,15841,557
33,New York,408709,32115
34,North Carolina,91675,1598
35,North Dakota,4569,92
36,Northern Mariana Islands,36,2
37,Ohio,69311,3075
38,Oklahoma,22813,432
39,Oregon,13087,249
40,Pennsylvania,102361,7011
41,Puerto Rico,10379,171
42,Rhode Island,17640,987
43,South Carolina,62245,998
44,South Dakota,7652,111
45,Tennessee,67515,773
46,Texas,295423,3582
47,Utah,31228,233
48,Vermont,1318,56
49,Virgin Islands,249,6
50,Virginia,73527,1992
51,Washington,45004,1486
52,West Virginia,4557,98
53,Wisconsin,42409,835
54,Wyoming,1985,22
