,State,cases,deaths,Medicare Insurance Costs (2014),Medicaid Insurance Costs (2014),Private Health Insurance Costs (2014)
0,Alabama,26912,785,9723.0,4983.0,11078.0
1,Alaska,751,10,741.0,1359.0,2492.0
2,Arizona,39298,1228,11069.0,8371.0,15073.0
3,Arkansas,13191,188,5536.0,4960.0,6209.0
4,California,159098,5202,64795.0,61761.0,104018.0
5,Colorado,29427,1617,7013.0,6038.0,15662.0
6,Connecticut,45349,4210,7410.0,6994.0,11920.0
7,Delaware,10403,424,2004.0,1506.0,2933.0
8,District of Columbia,9818,520,1023.0,2178.0,3688.0
9,Florida,80101,2992,47697.0,18285.0,48566.0
10,Georgia,56302,2492,15318.0,8761.0,26029.0
12,Hawaii,728,17,2036.0,1770.0,3614.0
13,Idaho,3543,89,2370.0,1540.0,3827.0
14,Illinois,134866,6608,22520.0,15397.0,40358.0
15,Indiana,41780,2447,12042.0,8868.0,16948.0
16,Iowa,24263,670,5224.0,4059.0,9004.0
17,Kansas,11569,246,4828.0,2372.0,8951.0
18,Kentucky,12899,530,8768.0,7425.0,11830.0
19,Louisiana,47818,3042,9123.0,7082.0,11034.0
20,Maine,2819,101,2791.0,2362.0,4147.0
21,Maryland,63004,2982,10857.0,8771.0,17297.0
22,Massachusetts,105885,7664,14152.0,13758.0,23606.0
23,Michigan,66466,6039,20970.0,12481.0,25935.0
24,Minnesota,30913,1344,8801.0,9665.0,17433.0
25,Mississippi,20152,915,6053.0,4569.0,6148.0
26,Missouri,16930,903,11638.0,8566.0,16521.0
27,Montana,614,19,1605.0,1061.0,2500.0
28,Nebraska,17031,236,3042.0,1700.0,5833.0
29,Nevada,11673,467,4695.0,2348.0,5789.0
30,New Hampshire,5364,326,2431.0,1319.0,4661.0
31,New Jersey,167426,12727,18437.0,11934.0,29959.0
32,New Mexico,9933,447,3126.0,3822.0,4139.0
33,New York,389349,30683,39926.0,51821.0,61730.0
34,North Carolina,46105,1185,17640.0,11911.0,22646.0
35,North Dakota,3127,77,1105.0,939.0,2414.0
37,Ohio,42010,2597,23274.0,17935.0,31892.0
38,Oklahoma,8645,363,6935.0,4799.0,9287.0
39,Oregon,6105,182,6506.0,6929.0,10272.0
40,Pennsylvania,84077,6337,27985.0,20221.0,39542.0
42,Rhode Island,16164,865,2175.0,2261.0,3021.0
43,South Carolina,19990,607,9369.0,5061.0,11980.0
44,South Dakota,5966,77,1414.0,763.0,2467.0
45,Tennessee,31623,487,12506.0,7655.0,16409.0
46,Texas,95973,2057,41821.0,30080.0,67494.0
47,Utah,15077,145,3028.0,1920.0,8270.0
48,Vermont,1131,55,1180.0,1390.0,2103.0
50,Virginia,55331,1570,12686.0,6834.0,23068.0
51,Washington,27949,1234,10313.0,9005.0,19339.0
52,West Virginia,2341,88,4221.0,3249.0,4342.0
53,Wisconsin,23328,704,9827.0,7329.0,19747.0
54,Wyoming,1089,18,833.0,534.0,1928.0
