,State,Population Per State (2014),Total Health Insurance Enrollment Per State (2014),Total Health Insurance Enrollment (Percent),Medicare Enrollment Per State (2014),Medicare Enrollment (Percent),Medicaid Enrollment Per State (2014),Medicaid Enrollment (Percent),Private Enrollment Per State (2014),Private Enrollment (Percent),Medicare Insurance Costs (2014),Medicaid Insurance Costs (2014),Private Health Insurance Costs (2014),Personal Health Care Expenses Per State (2014),Hospital Services Expenses Per State (2014),Physician and Clinical Services Expenses Per State (2014),Other Professional Services Expenses Per State (2014),Home Health Care Expenses Per State (2014),Drugs and Non-Durables Expenses Per State (2014),Durables Expenses Per State (2014),Other Health Care Expenses Per State (2014),Total Health Care Expenses Per State (2014),Personal Health Care Expenses Per State Capita (2014),Hospital Services Expenses Per State Capita (2014),Physician and Clinical Services Expenses Per State Capita (2014),Other Professional Services Expenses Per State Capita (2014),Home Health Care Expenses Per State Capita (2014),Drugs and Non-Durables Expenses Per State Capita (2014),Durables Expenses Per State Capita (2014),Other Health Care Expenses Per State Capita (2014),Total Health Care Expenses Per State Capita (2014),Medicare Health Insurance Per Enrollee (2014),Medicaid Health Insurance Per Enrollee (2014),Private Health Insurance Per Enrollee (2014),Employer Sponsored Insurance Premium Costs (Single Coverage),Employer Sponsored Insurance Premium Costs (Family Coverage),Employee Contribution to Premium Costs (Single Coverage),Employee Contribution to Premium Costs (Family Coverage),Employee Contribution to Premium Costs (Combined Average),Employee Deductible Costs (Single Coverage),Employee Deductible Costs (Combined Average),Total Potential Out-of-Pocket Costs (Employee Contribution + Deductible),cases,deaths
0,Alabama,4843,4977,102.76688,947,19.55399546,988,20.40057815,3042,62.81230642,9723.0,4983.0,11078.0,35263,12715,8423,826,980,6816,686,1569,19300,7281.0,2625.0,1739.0,170.0,202.0,1407.0,142.0,324.0,13890.0,7180.0,4262.0,3641.0,6089,18001,1453,5278,4260,1569,2563,6824,26912,785
1,Alaska,737,611,82.90366350000001,80,10.85481682,113,15.33242877,418,56.71641791,741.0,1359.0,2492.0,8151,3473,2481,342,144,471,102,587,4127,11064.0,4715.0,3368.0,465.0,195.0,640.0,139.0,797.0,21383.0,7041.0,9927.0,5958.0,8432,21648,1154,4501,3695,1797,2881,6576,751,10
2,Arizona,6720,6219,92.54464286,1096,16.30952381,1388,20.654761899999997,3735,55.58035714,11069.0,8371.0,15073.0,43356,15707,11922,1666,913,5467,1173,2332,23473,6452.0,2337.0,1774.0,248.0,136.0,814.0,175.0,347.0,12283.0,6547.0,4223.0,4035.0,6229,18875,1554,5786,4834,2166,3530,8364,39298,1228
3,Arkansas,2967,2986,100.6403775,584,19.68318166,812,27.36771149,1590,53.58948433,5536.0,4960.0,6209.0,21980,7930,4851,776,538,3470,308,1885,11828,7408.0,2673.0,1635.0,262.0,181.0,1169.0,104.0,635.0,14067.0,6486.0,4342.0,3906.0,5974,17995,1375,5728,4661,1501,2741,7403,13191,188
4,California,38681,38951,100.6980171,5476,14.15682118,11505,29.74328482,21970,56.79791112,64795.0,61761.0,104018.0,291989,106487,76688,8376,11253,36924,3740,19164,156145,7549.0,2753.0,1983.0,217.0,291.0,955.0,97.0,495.0,14340.0,7669.0,3766.0,4735.0,6542,19567,1202,5376,4127,1680,2767,6894,159098,5202
5,Colorado,5350,4988,93.23364486,755,14.11214953,845,15.79439252,3388,63.32710279999999,7013.0,6038.0,15662.0,36398,14650,8572,1739,1026,3642,919,1552,17450,6804.0,2739.0,1602.0,325.0,192.0,681.0,172.0,290.0,12805.0,6507.0,6448.0,4623.0,6255,18314,1289,4963,4007,2005,3489,7495,29427,1617
6,Connecticut,3592,3785,105.3730512,619,17.23273942,868,24.16481069,2298,63.97550111,7410.0,6994.0,11920.0,35413,11947,7852,1156,1062,5300,506,2839,18715,9859.0,3326.0,2186.0,322.0,296.0,1476.0,141.0,790.0,18396.0,8210.0,8780.0,5187.0,7264,20735,1672,5352,4407,2322,3409,7816,45349,4210
7,Delaware,935,1003,107.2727273,175,18.71657754,218,23.31550802,610,65.24064171,2004.0,1506.0,2933.0,9587,3812,2112,326,224,1425,184,553,4824,10254.0,4078.0,2259.0,348.0,239.0,1525.0,197.0,591.0,19491.0,7660.0,5596.0,4806.0,6848,20098,1340,5715,4564,1710,2871,7435,10403,424
8,District of Columbia,659,747,113.35356599999999,87,13.20182094,242,36.72230653,418,63.42943854,1023.0,2178.0,3688.0,7871,3449,1619,147,430,771,76,724,3767,11944.0,5233.0,2457.0,223.0,653.0,1171.0,116.0,1098.0,22895.0,8946.0,8444.0,8831.0,7230,21810,1369,6358,3960,1308,1855,5815,9818,520
9,Florida,19889,17977,90.38664588,3900,19.608829,3534,17.76861582,10543,53.00920107,47697.0,18285.0,48566.0,160624,54339,43592,5983,5846,24504,5025,5052,90002,8076.0,2732.0,2192.0,301.0,294.0,1232.0,253.0,254.0,15334.0,8282.0,5435.0,4606.0,6674,18934,1472,5908,4712,1963,3213,7925,80101,2992
10,Georgia,10087,9061,89.82849212,1469,14.563299300000002,1685,16.70466938,5907,58.56052345,15318.0,8761.0,26029.0,66447,24676,18325,2130,1644,9467,1410,2615,35591,6587.0,2446.0,1817.0,211.0,163.0,938.0,140.0,259.0,12561.0,7014.0,5507.0,4406.0,6799,18575,1476,5846,4721,1917,3212,7934,56302,2492
11,Hawaii,1416,1384,97.74011299,237,16.73728814,291,20.55084746,856,60.4519774,2036.0,1770.0,3614.0,10338,3914,2722,330,230,1673,240,246,5441,7299.0,2764.0,1922.0,233.0,163.0,1181.0,170.0,174.0,13906.0,5585.0,5045.0,4222.0,6475,17919,755,5475,3716,1308,2520,6236,728,17
12,Idaho,1634,1564,95.71603427,271,16.58506732,218,13.34149327,1075,65.78947368,2370.0,1540.0,3827.0,11315,4963,2165,493,292,1301,244,625,5120,6927.0,3038.0,1325.0,302.0,178.0,796.0,149.0,383.0,13098.0,5594.0,5894.0,3560.0,6175,17579,1199,5211,4349,1894,2958,7306,3543,89
