State,cases,deaths,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018
Alabama,387786,14345,2216627,2130845,85782,3.9,49881
Alaska,18316,367,352662,329901,22761,6.5,74912
Arizona,426614,18857,3422583,3260518,162065,4.7,59079
Arkansas,161569,3301,1353305,1303995,49310,3.6,47094
California,2664110,102387,19280821,18460725,820096,4.3,75250
Colorado,766512,37828,3080661,2983498,97163,3.2,71949
Connecticut,1314995,104185,1900664,1821891,78773,4.1,76366
Delaware,234327,7813,481773,463542,18231,3.8,65467
District of Columbia,229466,10822,404739,381703,23036,5.7,82533
Florida,1726811,63147,10173537,9808656,364881,3.6,55433
Georgia,1282091,54209,5080472,4880038,200434,3.9,58634
Hawaii,31433,681,675184,658256,16928,2.5,80527
Idaho,103987,2828,857207,832286,24921,2.9,55524
Illinois,2843621,122000,6463957,6184805,279152,4.3,65063
Indiana,920434,53042,3381609,3263751,117858,3.5,55725
Iowa,396980,9203,1690960,1646708,44252,2.6,60071
Kansas,231885,6527,1477847,1429229,48618,3.3,58150
Kentucky,246480,11851,2057791,1968611,89180,4.3,50189
Louisiana,1443404,90609,2104497,2001995,102502,4.9,48021
Maine,61284,2451,695679,673150,22529,3.2,55579
Maryland,1173802,56126,3221603,3094569,127034,3.9,83076
Massachusetts,2929874,167711,3785489,3658286,127203,3.4,79817
Michigan,2023047,171867,4908714,4705360,203354,4.1,56640
Minnesota,377850,18934,3071433,2981153,90280,2.9,70295
Mississippi,358459,15047,1269134,1207680,61454,4.8,44740
Missouri,395952,17924,3053105,2956667,96438,3.2,54412
Montana,23875,676,528834,509568,19266,3.6,55248
Nebraska,259429,3535,1023491,993561,29930,2.9,59724
Nevada,259808,11975,1503683,1436891,66792,4.4,58740
New Hampshire,117245,4507,762758,743182,19576,2.6,75322
New Jersey,5645458,332869,4432520,4250796,181724,4.1,81777
New Mexico,177827,6867,938245,892331,45914,4.9,47405
New York,15041806,1081194,9521869,9127699,394170,4.1,67648
North Carolina,568719,19258,4986138,4787719,198419,4,53922
North Dakota,55932,1219,403583,393199,10384,2.6,65250
Ohio,908834,47879,5780747,5521681,259066,4.5,56155
Oklahoma,187462,10394,1840609,1777564,63045,3.4,51914
Oregon,134979,5067,2097202,2012235,84967,4.1,63168
Pennsylvania,2320771,127278,6423711,6150782,272929,4.2,60891
Rhode Island,401931,14251,554554,532478,22076,4,63787
South Carolina,313173,11859,2339939,2259057,80882,3.5,52449
South Dakota,122292,1121,459565,445472,14093,3.1,57041
Tennessee,583792,10198,3254261,3139888,114373,3.5,52366
Texas,1553075,41267,13816690,13285118,531572,3.8,60632
Utah,245859,2472,1569969,1522290,47679,3,71381
Vermont,45230,2320,345300,336496,8804,2.5,60917
Virginia,866807,28754,4341153,4209651,131502,3,72600
Washington,807848,42371,3807013,3637581,169432,4.5,74023
West Virginia,56158,1950,785196,744326,40870,5.2,44038
Wisconsin,393823,15587,3118301,3024747,93554,3,60779
Wyoming,28407,281,291428,280076,11352,3.9,62259
