area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
United States,,,,"161,389,026","155,102,319","6,286,707",3.9,"61,937",
Alabama,,,,"2,216,627","2,130,845","85,782",3.9,"49,881",100.0
"Autauga County, AL",2,2,1,"26,196","25,261",935,3.6,"59,338",119.0
"Baldwin County, AL",3,2,1,"95,233","91,809","3,424",3.6,"57,588",115.5
"Barbour County, AL",6,6,0,"8,414","7,987",427,5.1,"34,382",68.9
"Bibb County, AL",1,1,1,"8,605","8,268",337,3.9,"46,064",92.3
"Blount County, AL",1,1,1,"25,069","24,201",868,3.5,"50,412",101.1
"Bullock County, AL",6,6,0,"4,791","4,571",220,4.6,"29,267",58.7
"Butler County, AL",6,6,0,"8,973","8,553",420,4.7,"37,365",74.9
"Calhoun County, AL",3,2,1,"46,307","44,191","2,116",4.6,"45,400",91.0
"Chambers County, AL",6,5,0,"15,366","14,775",591,3.8,"39,917",80.0
"Cherokee County, AL",6,6,0,"11,688","11,276",412,3.5,"42,132",84.5
"Chilton County, AL",1,1,1,"19,624","18,924",700,3.6,"47,547",95.3
"Choctaw County, AL",9,10,0,"4,749","4,493",256,5.4,"39,907",80.0
"Clarke County, AL",7,11,0,"7,659","7,096",563,7.4,"40,741",81.7
"Clay County, AL",9,10,0,"6,010","5,784",226,3.8,"39,201",78.6
"Cleburne County, AL",8,4,0,"5,795","5,552",243,4.2,"46,495",93.2
"Coffee County, AL",4,5,0,"21,007","20,193",814,3.9,"55,122",110.5
"Colbert County, AL",3,2,1,"23,541","22,478","1,063",4.5,"49,055",98.3
"Conecuh County, AL",7,11,0,"4,512","4,281",231,5.1,"32,613",65.4
"Coosa County, AL",8,3,0,"4,426","4,246",180,4.1,"42,423",85.0
"Covington County, AL",6,6,0,"15,652","14,945",707,4.5,"40,203",80.6
"Crenshaw County, AL",8,6,0,"6,369","6,114",255,4.0,"39,057",78.3
"Cullman County, AL",4,3,0,"38,113","36,879","1,234",3.2,"45,796",91.8
"Dale County, AL",4,5,0,"20,257","19,424",833,4.1,"45,309",90.8
"Dallas County, AL",4,5,0,"14,880","13,927",953,6.4,"34,035",68.2
"DeKalb County, AL",6,6,0,"30,289","29,153","1,136",3.8,"39,491",79.2
"Elmore County, AL",2,2,1,"37,590","36,313","1,277",3.4,"60,367",121.0
"Escambia County, AL",6,6,0,"14,423","13,780",643,4.5,"38,418",77.0
"Etowah County, AL",3,2,1,"43,252","41,502","1,750",4.0,"44,903",90.0
"Fayette County, AL",6,6,0,"6,529","6,267",262,4.0,"39,254",78.7
"Franklin County, AL",6,6,0,"14,291","13,768",523,3.7,"39,388",79.0
"Geneva County, AL",3,2,1,"10,872","10,450",422,3.9,"37,823",75.8
"Greene County, AL",8,6,0,"2,860","2,672",188,6.6,"28,524",57.2
"Hale County, AL",3,2,1,"5,979","5,680",299,5.0,"34,724",69.6
"Henry County, AL",3,2,1,"6,830","6,531",299,4.4,"46,027",92.3
"Houston County, AL",3,2,1,"45,580","43,764","1,816",4.0,"47,993",96.2
"Jackson County, AL",6,5,0,"23,412","22,468",944,4.0,"41,929",84.1
"Jefferson County, AL",1,1,1,"315,793","304,248","11,545",3.7,"55,013",110.3
"Lamar County, AL",8,7,0,"5,743","5,528",215,3.7,"40,936",82.1
