,State,cases,deaths,All Occupations 2018,Computer Mathematical Scientists 2018,Computer Mathematical Scientists 2018 (Percent),Engineers 2018,Engineers 2018 (Percent),Life Scientists 2018,Life Scientists 2018 (Percent),Physical Scientists 2018,Physical Scientists 2018 (Percent),Science Engineer Workers 2018,Science Engineer Workers 2018 (Percent),Social Scientists 2018,Social Scientists 2018 (Percent),Technical Workers 2018,Technical Workers 2018 (Percent)
0,Alabama,387786,14345,1943760.0,34810.0,1.790858953780302,32340.0,1.6637856525496977,3180.0,0.1636004444993209,2780.0,,69821.42857142858,3.7275770917854953,3195.0,0.17000466422065189,25768.461538461543,1.377782462441158
1,Alaska,18316,367,315250.0,4820.0,1.5289452815226012,5060.0,1.6050753370340998,1830.0,0.5804916732751784,1670.0,,14480.0,4.593180015860429,1090.0,0.3457573354480571,6370.0,2.020618556701031
2,Arizona,426614,18857,2789520.0,92170.0,3.304152685766727,35180.0,1.2611488714904358,4480.0,0.16060110700048755,4174.0,,114216.42857142855,4.5324697500400415,7870.0,0.28212739109237434,40286.92307692308,1.60871158874756
3,Arkansas,161569,3301,1210120.0,21960.0,1.814696063200344,8190.0,0.6767923842263577,2210.0,0.18262651637854105,1462.0,,35500.0,2.9335933626417217,2426.923076923077,0.20952960972401866,11790.0,0.9742835421280536
4,California,2664110,102387,17007690.0,592510.0,3.483777044384041,243550.0,1.4319992897330558,63800.0,0.3751244290082898,39360.0,,989560.0,5.818309247169958,50350.0,0.29604255486782743,266500.0,1.566938249697637
5,Colorado,766512,37828,2620640.0,115320.0,4.4004517980340685,45250.0,1.7266774528359483,7870.0,0.30030832163135723,10467.272727272728,,187050.0,7.137569448684291,8079.23076923077,0.3537773840775364,39090.0,1.4916203675438058
6,Connecticut,1314995,104185,1660200.0,44120.0,2.6575111432357548,27610.0,1.6630526442597278,4210.0,0.25358390555354776,3320.0,,84100.0,5.065654740392724,4830.0,0.2909288037585833,27020.0,1.627514757258162
7,Delaware,234327,7813,448510.0,16310.0,3.636485251164968,5090.0,1.1348687877639294,1260.0,0.280930191077122,2230.0,,26120.0,5.823727453122561,1230.0,0.2742413770038573,5870.0,1.3087779536688144
8,District of Columbia,229466,10822,712370.0,41310.0,5.798952791386497,8570.0,1.2030265171189132,2190.0,0.30742451254263936,3570.0,,74030.0,10.392071535859174,18400.0,2.5829274113171525,10760.0,1.5104510296615523
9,Florida,1726811,63147,8608660.0,199870.0,2.3217318374752867,66690.0,0.7746850264733419,11370.0,0.13207630455843306,10840.0,,304650.0,3.5388782923242412,15880.0,0.1844654104123057,83360.0,0.9683272425673678
10,Georgia,1282091,54209,4394740.0,144220.0,3.28165033653868,45900.0,1.0444303872356495,5860.833333333332,0.14688861384685034,5110.0,,210710.0,4.794595357176988,9520.0,0.2166225988340607,49720.0,1.1313524804652837
