,State,cases,deaths,Computer Mathematical Scientists 2018,All Occupations 2018,Computer Mathematical Scientists 2018 (Percent)
0,Alabama,387786,14345,34810.0,1943760.0,1.790858953780302
1,Alaska,18316,367,4820.0,315250.0,1.5289452815226012
2,Arizona,426614,18857,92170.0,2789520.0,3.304152685766727
3,Arkansas,161569,3301,21960.0,1210120.0,1.814696063200344
4,California,2664110,102387,592510.0,17007690.0,3.483777044384041
5,Colorado,766512,37828,115320.0,2620640.0,4.4004517980340685
6,Connecticut,1314995,104185,44120.0,1660200.0,2.6575111432357548
7,Delaware,234327,7813,16310.0,448510.0,3.6364852511649683
8,District of Columbia,229466,10822,41310.0,712370.0,5.798952791386498
9,Florida,1726811,63147,199870.0,8608660.0,2.3217318374752867
10,Georgia,1282091,54209,144220.0,4394740.0,3.28165033653868
11,Hawaii,31433,681,9760.0,641790.0,1.520746661680612
12,Idaho,103987,2828,14260.0,706140.0,2.0194295748718383
13,Illinois,2843621,122000,168130.0,5991270.0,2.806249760067565
14,Indiana,920434,53042,55720.0,3048100.0,1.828024014960139
15,Iowa,396980,9203,35510.0,1541700.0,2.3033015502367515
16,Kansas,231885,6527,33320.0,1375380.0,2.422603207840742
17,Kentucky,246480,11851,31800.0,1889870.0,1.6826554207432256
18,Louisiana,1443404,90609,18700.0,1913770.0,0.9771289130877795
19,Maine,61284,2451,11700.0,605550.0,1.9321278176864007
20,Maryland,1173802,56126,124600.0,2684010.0,4.64230759199854
21,Massachusetts,2929874,167711,138490.0,3571360.0,3.87779445365351
22,Michigan,2023047,171867,110840.0,4317830.0,2.567030198039293
23,Minnesota,377850,18934,92090.0,2867700.0,3.2112843044948916
24,Mississippi,358459,15047,11910.0,1123830.0,1.0597688262459624
25,Missouri,395952,17924,83620.0,2804780.0,2.981338999850256
26,Montana,23875,676,8280.0,463280.0,1.7872560870316005
27,Nebraska,259429,3535,28180.0,978290.0,2.880536446248045
28,Nevada,259808,11975,19520.0,1347130.0,1.4490064062117243
29,New Hampshire,117245,4507,20520.0,652920.0,3.142804631501562
30,New Jersey,5645458,332869,136850.0,4050170.0,3.3788705165462187
31,New Mexico,177827,6867,15090.0,811680.0,1.8591070372560616
32,New York,15041806,1081194,254650.0,9385620.0,2.7131931614533724
33,North Carolina,568719,19258,132200.0,4383210.0,3.016054444117439
34,North Dakota,55932,1219,7570.0,416550.0,1.8173088464770135
35,Ohio,908834,47879,147330.0,5416810.0,2.7198664896867344
36,Oklahoma,187462,10394,29820.0,1594370.0,1.8703312280085551
37,Oregon,134979,5067,51800.0,1886090.0,2.746422493094179
38,Pennsylvania,2320771,127278,151880.0,5847690.0,2.5972649028932793
39,Rhode Island,401931,14251,12850.0,482030.0,2.6658091820011203
40,South Carolina,313173,11859,37870.0,2062280.0,1.8363170859437128
41,South Dakota,122292,1121,7890.0,422310.0,1.868295801662286
42,Tennessee,583792,10198,53570.0,2956920.0,1.811682426308456
43,Texas,1553075,41267,349540.0,12113810.0,2.885467082610673
44,Utah,245859,2472,49930.0,1455910.0,3.4294702282421303
45,Vermont,45230,2320,7040.0,305210.0,2.306608564594869
46,Virginia,866807,28754,202990.0,3832840.0,5.296072885901838
47,Washington,807848,42371,156540.0,3259150.0,4.803092830952855
48,West Virginia,56158,1950,11200.0,696620.0,1.6077631994487667
49,Wisconsin,393823,15587,72790.0,2848560.0,2.5553261999045134
50,Wyoming,28407,281,2990.0,269320.0,1.1102034754195753
