,State,cases,deaths,Engineers 2018,All Occupations 2018,Engineers 2018 (Percent)
0,Alabama,387786,14345,32340.0,1943760.0,1.6637856525496975
1,Alaska,18316,367,5060.0,315250.0,1.6050753370340998
2,Arizona,426614,18857,35180.0,2789520.0,1.2611488714904358
3,Arkansas,161569,3301,8190.0,1210120.0,0.6767923842263577
4,California,2664110,102387,243550.0,17007690.0,1.431999289733056
5,Colorado,766512,37828,45250.0,2620640.0,1.7266774528359483
6,Connecticut,1314995,104185,27610.0,1660200.0,1.6630526442597278
7,Delaware,234327,7813,5090.0,448510.0,1.1348687877639294
8,District of Columbia,229466,10822,8570.0,712370.0,1.203026517118913
9,Florida,1726811,63147,66690.0,8608660.0,0.7746850264733419
10,Georgia,1282091,54209,45900.0,4394740.0,1.0444303872356497
11,Hawaii,31433,681,5910.0,641790.0,0.9208619641938951
12,Idaho,103987,2828,10000.0,706140.0,1.4161497719998866
13,Illinois,2843621,122000,60950.0,5991270.0,1.0173135245114975
14,Indiana,920434,53042,37300.0,3048100.0,1.2237131327712345
15,Iowa,396980,9203,13210.0,1541700.0,0.8568463384575469
16,Kansas,231885,6527,16700.0,1375380.0,1.2142098910846457
17,Kentucky,246480,11851,18850.0,1889870.0,0.9974231031764089
18,Louisiana,1443404,90609,18880.0,1913770.0,0.9865344320372877
19,Maine,61284,2451,5660.0,605550.0,0.934687474197011
20,Maryland,1173802,56126,44160.0,2684010.0,1.6452993841304615
21,Massachusetts,2929874,167711,57710.0,3571360.0,1.6159110254916893
22,Michigan,2023047,171867,117110.0,4317830.0,2.7122420289821507
23,Minnesota,377850,18934,37920.0,2867700.0,1.322314049586777
24,Mississippi,358459,15047,8780.0,1123830.0,0.7812569516741856
25,Missouri,395952,17924,27090.0,2804780.0,0.9658511541012129
26,Montana,23875,676,4170.0,463280.0,0.9001036090485236
27,Nebraska,259429,3535,7270.0,978290.0,0.7431334266935162
28,Nevada,259808,11975,7600.0,1347130.0,0.5641623302873516
29,New Hampshire,117245,4507,9890.0,652920.0,1.514733811186669
30,New Jersey,5645458,332869,38250.0,4050170.0,0.9444048027613656
31,New Mexico,177827,6867,12310.0,811680.0,1.516607530061108
32,New York,15041806,1081194,74040.0,9385620.0,0.7888663721736017
33,North Carolina,568719,19258,45440.0,4383210.0,1.0366831614273557
34,North Dakota,55932,1219,4050.0,416550.0,0.9722722362261434
35,Ohio,908834,47879,72760.0,5416810.0,1.343225994635219
36,Oklahoma,187462,10394,15837.857142857143,1594370.0,1.0338892418271797
37,Oregon,134979,5067,27650.0,1886090.0,1.4659957902327037
38,Pennsylvania,2320771,127278,63641.11111111111,5847690.0,1.1369814449455495
39,Rhode Island,401931,14251,6720.0,482030.0,1.3941041014044768
40,South Carolina,313173,11859,29510.0,2062280.0,1.4309405124425392
41,South Dakota,122292,1121,3230.0,422310.0,0.764840993582913
42,Tennessee,583792,10198,27790.0,2956920.0,0.9398292818202725
43,Texas,1553075,41267,162440.0,12113810.0,1.3409488839597121
44,Utah,245859,2472,18590.0,1455910.0,1.2768646413583258
45,Vermont,45230,2320,2920.0,305210.0,0.9567183250876446
46,Virginia,866807,28754,53170.0,3832840.0,1.3872220077018609
47,Washington,807848,42371,54320.0,3259150.0,1.6666922357056289
48,West Virginia,56158,1950,5530.0,696620.0,0.7938330797278287
49,Wisconsin,393823,15587,37750.0,2848560.0,1.3252309939056925
50,Wyoming,28407,281,2720.0,269320.0,1.0099509876726571
