,State,cases,deaths,Physical Scientists 2018,All Occupations 2018,Phsysial Scientists 2018 (Percent)
0,Alabama,387786,14345,2780.0,1943760.0,0.14302177223525536
1,Alaska,18316,367,1670.0,315250.0,0.5297383029341792
2,Arizona,426614,18857,4174.0,2789520.0,0.16421202987999903
3,Arkansas,161569,3301,1462.0,1210120.0,0.12675039604998858
4,California,2664110,102387,39360.0,17007690.0,0.23142472610918943
5,Colorado,766512,37828,10467.272727272728,2620640.0,0.4521190991799509
6,Connecticut,1314995,104185,3320.0,1660200.0,0.19997590651728708
7,Delaware,234327,7813,2230.0,448510.0,0.49720184611268425
8,District of Columbia,229466,10822,3570.0,712370.0,0.5011440683914259
9,Florida,1726811,63147,10840.0,8608660.0,0.1259197134048737
10,Georgia,1282091,54209,5110.0,4394740.0,0.13065940479055296
11,Hawaii,31433,681,1630.0,641790.0,0.2539771576372334
12,Idaho,103987,2828,1840.0,706140.0,0.26057155804797916
13,Illinois,2843621,122000,10752.142857142857,5991270.0,0.18648794150181983
14,Indiana,920434,53042,5850.0,3048100.0,0.19192283717725794
15,Iowa,396980,9203,1670.0,1541700.0,0.1083219822274113
16,Kansas,231885,6527,2280.0,1375380.0,0.16577236836365222
17,Kentucky,246480,11851,2540.0,1889870.0,0.13440077888955326
18,Louisiana,1443404,90609,3370.0,1913770.0,0.1760922158880116
19,Maine,61284,2451,1300.0,605550.0,0.2146808686318223
20,Maryland,1173802,56126,10813.0,2684010.0,0.42624921689502376
21,Massachusetts,2929874,167711,9333.75,3571360.0,0.2891845578274378
22,Michigan,2023047,171867,9390.0,4317830.0,0.2174703496895431
23,Minnesota,377850,18934,6130.0,2867700.0,0.2137601562227569
24,Mississippi,358459,15047,1740.0,1123830.0,0.15482768746162676
25,Missouri,395952,17924,4750.0,2804780.0,0.17834117494245078
26,Montana,23875,676,1460.0,463280.0,0.3151441892591953
27,Nebraska,259429,3535,1250.0,978290.0,0.1277739729528054
28,Nevada,259808,11975,2210.0,1347130.0,0.16405246709671673
29,New Hampshire,117245,4507,1350.0,652920.0,0.20676346259878697
30,New Jersey,5645458,332869,13130.0,4050170.0,0.3241839231439668
31,New Mexico,177827,6867,4640.0,811680.0,0.5716538537354623
32,New York,15041806,1081194,15850.0,9385620.0,0.1688753646535871
33,North Carolina,568719,19258,11590.0,4383210.0,0.26441808628835944
34,North Dakota,55932,1219,850.0,416550.0,0.20405713599807945
35,Ohio,908834,47879,10000.0,5416810.0,0.18461049953755068
36,Oklahoma,187462,10394,3010.0,1594370.0,0.18878930235767105
37,Oregon,134979,5067,3430.0,1886090.0,0.18185770562380374
38,Pennsylvania,2320771,127278,13000.0,5847690.0,0.22231000617337787
39,Rhode Island,401931,14251,920.0,482030.0,0.19085949007323194
40,South Carolina,313173,11859,2930.0,2062280.0,0.14207576080842563
41,South Dakota,122292,1121,720.0,422310.0,0.17049087163458124
42,Tennessee,583792,10198,4470.0,2956920.0,0.15117081287285417
43,Texas,1553075,41267,25120.0,12113810.0,0.2073666336189853
44,Utah,245859,2472,2821.6666666666665,1455910.0,0.23139515279371567
45,Vermont,45230,2320,820.0,305210.0,0.26866747485337966
46,Virginia,866807,28754,9670.0,3832840.0,0.2522933386209703
47,Washington,807848,42371,8580.0,3259150.0,0.2632588251537978
48,West Virginia,56158,1950,1610.0,696620.0,0.23111595992076026
49,Wisconsin,393823,15587,4290.0,2848560.0,0.15060240963855423
50,Wyoming,28407,281,1010.0,269320.0,0.3750185652755087
