,State,cases,deaths,AGI Total,AGI Top 1 Percent,AGI Top 5 Percent,AGI Top 10 Percent,AGI Top 25 Percent,AGI Top 50 Percent,AGI Top 75 Percent,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Total population_HISPANIC OR LATINO,4th 2015 Math,4th 2015 Science,8th 2015 Math,8th 2015 Science,Labor Force w/ Bachelor 2018,Labor Force Participants 2018,Percent of Labor Force w/ Bachelor 2018,Doctorate From Doc Inst 2018,Doctorate From Bach Inst 2018,Total Doctorate Degrees 2018,Less Than HS Diploma 14-18,HS Diploma 14-18,Some College or Associate Degree 14-18,Bachelor Degree or Higher 14-18,ELL Students Enrolled 2017,Population Per State (2014),Total Health Insurance Enrollment Per State (2014),Total Health Insurance Enrollment (Percent),Medicare Enrollment Per State (2014),Medicare Enrollment (Percent),Medicaid Enrollment Per State (2014),Medicaid Enrollment (Percent),Private Enrollment Per State (2014),Private Enrollment (Percent),Personal Health Care Expenses Per State (2014),Hospital Services Expenses Per State (2014),Physician and Clinical Services Expenses Per State (2014),Other Professional Services Expenses Per State (2014),Home Health Care Expenses Per State (2014),Drugs and Non-Durables Expenses Per State (2014),Durables Expenses Per State (2014),Other Health Care Expenses Per State (2014),Total Health Care Expenses Per State (2014),Personal Health Care Expenses Per State Capita (2014),Hospital Services Expenses Per State Capita (2014),Physician and Clinical Services Expenses Per State Capita (2014),Other Professional Services Expenses Per State Capita (2014),Home Health Care Expenses Per State Capita (2014),Drugs and Non-Durables Expenses Per State Capita (2014),Durables Expenses Per State Capita (2014),Other Health Care Expenses Per State Capita (2014),Total Health Care Expenses Per State Capita (2014),All Occupations 2018,Computer Mathematical Scientists 2018,Computer Mathematical Scientists 2018 (Percent),Engineers 2018,Engineers 2018 (Percent),Life Scientists 2018,Life Scientists 2018 (Percent),Physical Scientists 2018,Physical Scientists 2018 (Percent),Science Engineer Workers 2018,Science Engineer Workers 2018 (Percent),Social Scientists 2018,Social Scientists 2018 (Percent),Technical Workers 2018,Technical Workers 2018 (Percent),Public School Expenditure 2016(Thousands),State GDP(Millions),School Expenditures per State GDP(Percent),Student Enrollment,School Expenditures per Student Enrollment(Percent),Public School Salary 2018(Dollars)
0,Alabama,387786,14345,119662909,18553159,35924229,49537638,76667112,101687773,114405941,4887871,2369271,2518600,288589,290369,321430,332209,317810,635976,593480,626173,332700,319472,493396,251025,85242,4887871,3306838,1307040,22063,65095,1797,4887871,231,145,267,141,624760,2219105,28.153692592283825,493174,248175,741349,470043.0,1020172.0,987148.0,822595.0,25212,4843.0,4977.0,102.76688003303738,947.0,19.55399545736114,988.0,20.400578154036754,3042.0,62.812306421639484,35263,12715,8423,826,980,6816,686,1569,19300,7281.0,2625.0,1739.0,170.0,202.0,1407.0,142.0,324.0,13890.0,1943760.0,34810.0,1.790858953780302,32340.0,1.6637856525496977,3180.0,0.1636004444993209,2780.0,0.14302177223525536,69821.42857142858,3.7275770917854953,3195.0,0.17000466422065189,25768.461538461543,1.377782462441158,6885677.0,203398.0,3.3853218812377706,743789.0,9257.56767040115,50568.0
1,Alaska,18316,367,23969001,2848087,6184956,8915998,14554105,20064361,22927860,737438,382952,354486,52173,52544,49747,48514,49107,117688,97020,89333,47300,46012,59630,21000,7370,737438,474555,25197,111371,46381,7958,737438,236,154,280,154,108145,371180,29.135459884692054,506,293,799,34760.0,133851.0,169471.0,139645.0,15623,737.0,611.0,82.90366350067842,80.0,10.85481682496608,113.0,15.332428765264584,418.0,56.71641791044776,8151,3473,2481,342,144,471,102,587,4127,11064.0,4715.0,3368.0,465.0,195.0,640.0,139.0,797.0,21383.0,315250.0,4820.0,1.5289452815226012,5060.0,1.6050753370340998,1830.0,0.5804916732751784,1670.0,0.5297383029341792,14480.0,4.593180015860429,1090.0,0.3457573354480571,6370.0,2.020618556701031,2319662.0,49429.0,4.692917113435434,132477.0,17509.922477109234,69682.0
2,Arizona,426614,18857,197753744,33609317,63073164,85351788,128616004,168531690,189378565,7171646,3565129,3606517,434032,441613,488738,477306,489653,979328,882618,852462,430467,436326,727956,398408,132739,7171646,5590505,336340,330599,237873,15661,7171646,238,149,283,148,1014830,3396895,29.87522428570798,560204,321105,881309,613002.0,1112551.0,1570308.0,1338071.0,88629,6720.0,6219.0,92.54464285714286,1096.0,16.30952380952381,1388.0,20.654761904761905,3735.0,55.58035714285714,43356,15707,11922,1666,913,5467,1173,2332,23473,6452.0,2337.0,1774.0,248.0,136.0,814.0,175.0,347.0,12283.0,2789520.0,92170.0,3.304152685766727,35180.0,1.2611488714904358,4480.0,0.16060110700048755,4174.0,0.1496314778169721,114216.42857142855,4.5324697500400415,7870.0,0.28212739109237434,40286.92307692308,1.60871158874756,8551673.0,311397.0,2.746228447929813,1109040.0,7710.878778042271,48723.0
3,Arkansas,161569,3301,74634888,16319991,26475276,34256878,49689104,64088761,71584342,3013825,1476680,1537145,188092,192523,203502,208021,199748,392937,367053,370343,196034,187896,296808,154699,56169,3013825,2306096,456714,20951,47548,9398,3013825,235,150,275,148,347335,1379145,25.18480652868262,20363,15171,35534,276029.0,681223.0,590434.0,451621.0,39836,2967.0,2986.0,100.64037748567577,584.0,19.683181664981465,812.0,27.367711493090663,1590.0,53.58948432760364,21980,7930,4851,776,538,3470,308,1885,11828,7408.0,2673.0,1635.0,262.0,181.0,1169.0,104.0,635.0,14067.0,1210120.0,21960.0,1.814696063200344,8190.0,0.6767923842263577,2210.0,0.18262651637854105,1462.0,0.12081446468118863,35500.0,2.9335933626417217,2426.923076923077,0.20952960972401866,11790.0,0.9742835421280536,4872214.0,120090.0,4.0571354817220415,492132.0,9900.217827737271,50544.0
4,California,2664110,102387,1549284943,356240355,600859502,772738760,1086299917,1360947743,1497300869,39557045,19673553,19883492,2428493,2398894,2646096,2557470,2710448,6034398,5264457,5068026,2485050,2296376,3286461,1651296,729580,39557045,23535388,2283850,302792,5821585,155739,39557045,232,140,275,143,7115070,20038675,35.506688940261775,49711105,2676741,52387846,4475565.0,5391120.0,7633463.0,8718737.0,1197296,38681.0,38951.0,100.69801711434552,5476.0,14.156821178356301,11505.0,29.743284816835136,21970.0,56.79791111915411,291989,106487,76688,8376,11253,36924,3740,19164,156145,7549.0,2753.0,1983.0,217.0,291.0,955.0,97.0,495.0,14340.0,17007690.0,592510.0,3.483777044384041,243550.0,1.4319992897330558,63800.0,0.3751244290082898,39360.0,0.23142472610918943,989560.0,5.818309247169958,50350.0,0.29604255486782743,266500.0,1.566938249697637,72003129.0,2663396.0,2.7034330981949357,6305347.0,11419.3761263258,80680.0
5,Colorado,766512,37828,212581123,37479649,69617571,93359185,138935934,181679584,204043171,5695564,2864761,2830803,335642,352145,364535,368833,374122,889656,781388,710218,362167,349003,502418,218031,87406,5695564,4790677,237578,55146,180277,7585,5695564,242,154,286,154,1290890,3105290,41.57067455857585,825227,413146,1238373,322718.0,803431.0,1117551.0,1504892.0,104299,5350.0,4988.0,93.23364485981308,755.0,14.11214953271028,845.0,15.794392523364484,3388.0,63.32710280373832,36398,14650,8572,1739,1026,3642,919,1552,17450,6804.0,2739.0,1602.0,325.0,192.0,681.0,172.0,290.0,12805.0,2620640.0,115320.0,4.4004517980340685,45250.0,1.7266774528359483,7870.0,0.30030832163135723,10467.272727272728,0.3994166588036788,187050.0,7.137569448684291,8079.23076923077,0.3537773840775364,39090.0,1.4916203675438058,8648369.0,329097.0,2.6279087928483094,899112.0,9618.789427790976,52701.0
6,Connecticut,1314995,104185,175792834,47379889,74456114,92142733,125039874,155284852,170426876,3572665,1740533,1832132,181224,191879,224026,242294,239846,447891,424573,494642,260520,252623,343060,182391,87696,3572665,2688136,391552,9507,165855,1017,3572665,240,154,284,155,796610,1928920,41.29823942931796,608178,352149,960327,235826.0,670519.0,607136.0,965227.0,38089,3592.0,3785.0,105.3730512249443,619.0,17.23273942093541,868.0,24.164810690423163,2298.0,63.975501113585736,35413,11947,7852,1156,1062,5300,506,2839,18715,9859.0,3326.0,2186.0,322.0,296.0,1476.0,141.0,790.0,18396.0,1660200.0,44120.0,2.6575111432357548,27610.0,1.6630526442597278,4210.0,0.25358390555354776,3320.0,0.19997590651728708,84100.0,5.0656547403927235,4830.0,0.2909288037585833,27020.0,1.6275147572581619,10551327.0,262979.0,4.012231775160754,537933.0,19614.5746775156,74517.0
7,Delaware,234327,7813,31403165,4412370,8899481,12464894,19652753,26529258,30056514,967171,467924,499247,54335,51828,62410,59345,59553,127399,112393,122887,68726,67539,107895,54257,18604,967171,659781,217594,4397,39023,896,967171,239,150,280,149,156250,486290,32.13103292274157,22711,9116,31827,67482.0,208557.0,176708.0,207232.0,12296,935.0,1003.0,107.27272727272728,175.0,18.71657754010695,218.0,23.31550802139037,610.0,65.24064171122997,9587,3812,2112,326,224,1425,184,553,4824,10254.0,4078.0,2259.0,348.0,239.0,1525.0,197.0,591.0,19491.0,448510.0,16310.0,3.636485251164968,5090.0,1.1348687877639294,1260.0,0.280930191077122,2230.0,0.49720184611268425,26120.0,5.823727453122561,1230.0,0.2742413770038573,5870.0,1.3087779536688144,1941408.0,70380.0,2.75846547314578,134847.0,14397.116732296605,61795.0
8,District of Columbia,229466,10822,34743188,7442186,13245281,17240750,24153683,30301657,33570901,702455,334208,368247,45490,32857,33386,37568,52978,163467,105535,75526,36869,33153,48833,25892,10901,702455,296747,319777,1932,27538,397,702455,231,154,263,154,270905,412055,65.74486415648397,380208,170105,550313,45805.0,83572.0,77255.0,280349.0,8145,659.0,747.0,113.35356600910471,87.0,13.20182094081942,242.0,36.722306525037936,418.0,63.42943854324735,7871,3449,1619,147,430,771,76,724,3767,11944.0,5233.0,2457.0,223.0,653.0,1171.0,116.0,1098.0,22895.0,712370.0,41310.0,5.798952791386497,8570.0,1.2030265171189132,2190.0,0.30742451254263936,3570.0,0.5011440683914259,74030.0,10.392071535859174,18400.0,2.5829274113171525,10760.0,1.5104510296615523,1775833.0,129817.0,1.367951038769961,84024.0,21134.830524612018,76486.0
9,Florida,1726811,63147,750608252,213461301,325886670,401558825,540976844,663846145,726074247,21299325,10404676,10894649,1135392,1127602,1244592,1234024,1255590,2758515,2586704,2741968,1449290,1406864,2404234,1393550,561000,21299325,15899574,3410741,59870,593634,12841,21299325,243,158,275,153,3194970,10265785,31.122510358438248,1756590,898367,2654957,1769489.0,4231678.0,4402103.0,4283457.0,280540,19889.0,17977.0,90.38664588465988,3900.0,19.608829000955303,3534.0,17.768615817788728,10543.0,53.00920106591583,160624,54339,43592,5983,5846,24504,5025,5052,90002,8076.0,2732.0,2192.0,301.0,294.0,1232.0,253.0,254.0,15334.0,8608660.0,199870.0,2.3217318374752867,66690.0,0.7746850264733419,11370.0,0.13207630455843306,10840.0,0.1259197134048737,304650.0,3.538878292324241,15880.0,0.1844654104123057,83360.0,0.9683272425673678,25621239.0,938370.0,2.730398350330893,2792234.0,9175.892493250924,48168.0
