,State,cases,deaths,Personal Health Care Expenses Per State (2014),Hospital Services Expenses Per State (2014),Physician and Clinical Services Expenses Per State (2014),Other Professional Services Expenses Per State (2014),Home Health Care Expenses Per State (2014),Drugs and Non-Durables Expenses Per State (2014),Durables Expenses Per State (2014),Other Health Care Expenses Per State (2014),Total Health Care Expenses Per State (2014)
0,Alabama,387786,14345,35263,12715,8423,826,980,6816,686,1569,19300
1,Alaska,18316,367,8151,3473,2481,342,144,471,102,587,4127
2,Arizona,426614,18857,43356,15707,11922,1666,913,5467,1173,2332,23473
3,Arkansas,161569,3301,21980,7930,4851,776,538,3470,308,1885,11828
4,California,2664110,102387,291989,106487,76688,8376,11253,36924,3740,19164,156145
5,Colorado,766512,37828,36398,14650,8572,1739,1026,3642,919,1552,17450
6,Connecticut,1314995,104185,35413,11947,7852,1156,1062,5300,506,2839,18715
7,Delaware,234327,7813,9587,3812,2112,326,224,1425,184,553,4824
8,District of Columbia,229466,10822,7871,3449,1619,147,430,771,76,724,3767
9,Florida,1726811,63147,160624,54339,43592,5983,5846,24504,5025,5052,90002
10,Georgia,1282091,54209,66447,24676,18325,2130,1644,9467,1410,2615,35591
11,Hawaii,31433,681,10338,3914,2722,330,230,1673,240,246,5441
12,Idaho,103987,2828,11315,4963,2165,493,292,1301,244,625,5120
13,Illinois,2843621,122000,106306,43497,24139,4365,2805,12949,1652,5652,51562
14,Indiana,920434,53042,54741,23027,12144,1593,1069,7383,1082,2450,25721
15,Iowa,396980,9203,25487,10231,4826,814,548,3568,433,1914,12103
16,Kansas,231885,6527,22183,8593,4935,773,400,3243,363,1209,10923
17,Kentucky,246480,11851,35323,14198,8077,1008,705,5289,657,2106,17842
18,Louisiana,1443404,90609,36324,14174,7988,1104,1316,5841,471,2226,18946
19,Maine,61284,2451,12684,5261,2240,438,270,1542,183,1463,6136
20,Maryland,1173802,56126,51330,19589,12611,1644,1055,6847,751,2877,25785
21,Massachusetts,2929874,167711,71274,26544,15280,2034,4503,8437,1150,5225,36629
22,Michigan,2023047,171867,79874,32287,17232,2626,2861,10964,2708,2706,39097
23,Minnesota,377850,18934,48377,18396,9589,1470,2860,5206,735,4730,24590
24,Mississippi,358459,15047,22879,9658,4682,568,635,3386,493,1353,11117
25,Missouri,395952,17924,49137,21164,9346,1380,1374,7717,646,2505,22968
26,Montana,23875,676,8409,3807,1696,310,155,885,169,559,3774
27,Nebraska,259429,3535,15823,6568,3306,557,182,2336,348,775,7504
28,Nevada,259808,11975,19020,6730,5304,773,661,2736,426,691,10591
29,New Hampshire,117245,4507,12742,5010,2960,349,303,1623,254,759,6248
30,New Jersey,5645458,332869,79066,26014,21148,3222,2178,12089,1418,4269,44324
31,New Mexico,177827,6867,15027,6595,3314,558,522,1558,430,737,7119
32,New York,15041806,1081194,192809,71630,36941,5891,9426,28294,2834,18459,101845
33,North Carolina,568719,19258,72160,27606,16014,2196,1941,12295,1411,2648,36505
34,North Dakota,55932,1219,7289,3314,1268,193,54,869,122,600,3106
35,Ohio,908834,47879,101013,44167,20626,2699,3007,11866,1668,6287,46153
36,Oklahoma,187462,10394,29575,12089,6404,1007,755,4576,448,1392,14582
37,Oregon,134979,5067,31920,11666,7455,1311,661,3501,513,3146,16587
38,Pennsylvania,2320771,127278,118419,43693,25156,3940,3122,17208,1807,9550,60783
39,Rhode Island,401931,14251,10071,3814,1956,328,266,1488,145,936,5119
40,South Carolina,313173,11859,35299,14161,7810,987,1056,5758,745,1393,17749
41,South Dakota,122292,1121,7616,3764,1394,218,79,809,108,399,3007
42,Tennessee,583792,10198,48249,17124,12303,1433,1402,7960,888,2557,26543
43,Texas,1553075,41267,188559,72704,45665,5591,7604,28916,3107,8970,99853
44,Utah,245859,2472,17597,6915,3881,624,553,2305,473,1062,8898
45,Vermont,45230,2320,6389,2928,1097,201,189,726,81,525,2819
46,Virginia,866807,28754,62847,24222,15610,1868,1268,8439,1123,3493,31801
47,Washington,807848,42371,55819,21797,14562,2282,1326,5610,1030,2444,27254
48,West Virginia,56158,1950,17491,7463,3340,439,503,2545,343,1313,8483
49,Wisconsin,393823,15587,50109,20165,12482,1518,1325,6349,719,2088,24481
50,Wyoming,28407,281,4856,2335,1034,220,45,438,75,243,2055
