,State,cases,deaths,Public School Expenditure 2016(Thousands),Student Enrollment,School Expenditures per Student Enrollment(Percent)
0,Alabama,387786,14345,6885677.0,743789.0,9257.56767040115
1,Alaska,18316,367,2319662.0,132477.0,17509.922477109234
2,Arizona,426614,18857,8551673.0,1109040.0,7710.878778042271
3,Arkansas,161569,3301,4872214.0,492132.0,9900.217827737273
4,California,2664110,102387,72003129.0,6305347.0,11419.3761263258
5,Colorado,766512,37828,8648369.0,899112.0,9618.789427790976
6,Connecticut,1314995,104185,10551327.0,537933.0,19614.5746775156
7,Delaware,234327,7813,1941408.0,134847.0,14397.116732296603
8,District of Columbia,229466,10822,1775833.0,84024.0,21134.830524612018
9,Florida,1726811,63147,25621239.0,2792234.0,9175.892493250924
10,Georgia,1282091,54209,17283295.0,1757237.0,9835.494586103068
11,Hawaii,31433,681,2502117.0,181995.0,13748.273304211654
12,Idaho,103987,2828,2097992.0,292277.0,7178.0947525806005
13,Illinois,2843621,122000,29253457.0,2041779.0,14327.435535383604
14,Indiana,920434,53042,10144064.0,1046757.0,9690.94450765555
15,Iowa,396980,9203,5663444.0,508014.0,11148.204577039216
16,Kansas,231885,6527,5065968.0,495884.0,10216.0343951408
17,Kentucky,246480,11851,6750052.0,686598.0,9831.155931127092
18,Louisiana,1443404,90609,8027058.0,718711.0,11168.686718305411
19,Maine,61284,2451,2579299.0,181613.0,14202.171650707824
20,Maryland,1173802,56126,12774063.0,879601.0,14522.565344968913
21,Massachusetts,2929874,167711,16374676.0,964026.0,16985.720302149526
22,Michigan,2023047,171867,16977163.0,1536231.0,11051.178501149892
23,Minnesota,377850,18934,10687048.0,864384.0,12363.773508070488
24,Mississippi,358459,15047,4234977.0,487200.0,8692.481527093596
25,Missouri,395952,17924,9545816.0,919234.0,10384.533209171985
26,Montana,23875,676,1652848.0,145319.0,11373.929080161575
27,Nebraska,259429,3535,3911805.0,316014.0,12378.581328675311
28,Nevada,259808,11975,4092457.0,467527.0,8753.413171859593
29,New Hampshire,117245,4507,2833893.0,182425.0,15534.56488968069
30,New Jersey,5645458,332869,26825114.0,1408845.0,19040.500551870504
31,New Mexico,177827,6867,3343152.0,335694.0,9958.926879836994
32,New York,15041806,1081194,59161439.0,2711626.0,21817.698679685178
33,North Carolina,568719,19258,13466942.0,1544934.0,8716.839683766428
34,North Dakota,55932,1219,1451309.0,108644.0,13358.390707264092
35,Ohio,908834,47879,20484182.0,1716585.0,11933.100895091125
36,Oklahoma,187462,10394,5606044.0,692878.0,8090.953963035339
37,Oregon,134979,5067,6238574.0,608825.0,10246.90838911017
38,Pennsylvania,2320771,127278,26045127.0,1717414.0,15165.316574803745
39,Rhode Island,401931,14251,2283927.0,142014.0,16082.407368287633
40,South Carolina,313173,11859,7669725.0,763533.0,10045.047168884645
41,South Dakota,122292,1121,1253268.0,134253.0,9335.121002882617
42,Tennessee,583792,10198,8886994.0,1001235.0,8876.03210035606
43,Texas,1553075,41267,49577688.0,5301477.0,9351.674637086984
44,Utah,245859,2472,4539291.0,647870.0,7006.48432555914
45,Vermont,45230,2320,1671433.0,87866.0,19022.52293264744
46,Virginia,866807,28754,14677698.0,1283590.0,11434.88029666794
47,Washington,807848,42371,12483668.0,1087030.0,11484.198228199773
48,West Virginia,56158,1950,3169684.0,277452.0,11424.260773034614
49,Wisconsin,393823,15587,10122041.0,867800.0,11664.02512099562
50,Wyoming,28407,281,1556321.0,94717.0,16431.274216877646
