,State,cases,deaths,Life Scientists 2018,All Occupations 2018,Life Scientists 2018 (Percent)
0,Alabama,387786,14345,3180.0,1943760.0,0.1636004444993209
1,Alaska,18316,367,1830.0,315250.0,0.5804916732751784
2,Arizona,426614,18857,4480.0,2789520.0,0.16060110700048755
3,Arkansas,161569,3301,2210.0,1210120.0,0.182626516378541
4,California,2664110,102387,63800.0,17007690.0,0.3751244290082898
5,Colorado,766512,37828,7870.0,2620640.0,0.30030832163135723
6,Connecticut,1314995,104185,4210.0,1660200.0,0.25358390555354776
7,Delaware,234327,7813,1260.0,448510.0,0.280930191077122
8,District of Columbia,229466,10822,2190.0,712370.0,0.30742451254263936
9,Florida,1726811,63147,11370.0,8608660.0,0.132076304558433
10,Georgia,1282091,54209,5860.833333333333,4394740.0,0.14688861384685037
11,Hawaii,31433,681,1610.0,641790.0,0.25086087349444525
12,Idaho,103987,2828,2790.0,706140.0,0.3951057863879684
13,Illinois,2843621,122000,11260.0,5991270.0,0.18794011954059825
14,Indiana,920434,53042,7000.0,3048100.0,0.2296512581608215
15,Iowa,396980,9203,5060.0,1541700.0,0.3282091198028151
16,Kansas,231885,6527,2640.0,1375380.0,0.19194695284212362
17,Kentucky,246480,11851,2430.0,1889870.0,0.128580272717171
18,Louisiana,1443404,90609,2620.0,1913770.0,0.1369025535983948
19,Maine,61284,2451,1550.0,605550.0,0.25596565106101893
20,Maryland,1173802,56126,15500.0,2684010.0,0.5774941226001393
21,Massachusetts,2929874,167711,18843.846153846152,3571360.0,0.576131675119217
22,Michigan,2023047,171867,8170.0,4317830.0,0.18921541607705722
23,Minnesota,377850,18934,9250.0,2867700.0,0.32255814764445373
24,Mississippi,358459,15047,2490.0,1123830.0,0.22156375964336242
25,Missouri,395952,17924,6320.0,2804780.0,0.22532961587005043
26,Montana,23875,676,2410.0,463280.0,0.5202037644620964
27,Nebraska,259429,3535,3150.0,978290.0,0.32199041184106963
28,Nevada,259808,11975,1410.0,1347130.0,0.10466695864541654
29,New Hampshire,117245,4507,1450.0,652920.0,0.2220792746431416
30,New Jersey,5645458,332869,14180.0,4050170.0,0.3501087608668278
31,New Mexico,177827,6867,1690.0,811680.0,0.2082101320717524
32,New York,15041806,1081194,19950.0,9385620.0,0.21255921292360017
33,North Carolina,568719,19258,12080.0,4383210.0,0.27559710805551185
34,North Dakota,55932,1219,1510.0,416550.0,0.36250150042011764
35,Ohio,908834,47879,10070.0,5416810.0,0.18590277303431355
36,Oklahoma,187462,10394,2500.714285714286,1594370.0,0.16418764446433465
37,Oregon,134979,5067,6720.0,1886090.0,0.3562926477527584
38,Pennsylvania,2320771,127278,16300.0,5847690.0,0.28804249703926127
39,Rhode Island,401931,14251,1090.0,482030.0,0.2261270045432857
40,South Carolina,313173,11859,2200.0,2062280.0,0.10667804565820355
41,South Dakota,122292,1121,1950.0,422310.0,0.4617461106769909
42,Tennessee,583792,10198,4820.0,2956920.0,0.16300745370182487
43,Texas,1553075,41267,20600.0,12113810.0,0.17005384763340353
44,Utah,245859,2472,3070.0,1455910.0,0.21086468256966434
45,Vermont,45230,2320,810.0,305210.0,0.26539104223321647
46,Virginia,866807,28754,6460.0,3832840.0,0.1768328501261071
47,Washington,807848,42371,13870.0,3259150.0,0.4255710844852185
48,West Virginia,56158,1950,1510.0,696620.0,0.2167609313542534
49,Wisconsin,393823,15587,7090.0,2848560.0,0.2488976886567248
50,Wyoming,28407,281,960.0,269320.0,0.35645328976682017
