,State,cases,deaths,Science Engineer Workers 2018,All Occupations 2018,Science Engineer Workers 2018 (Percent)
0,Alabama,387786,14345,69821.42857142857,1943760.0,3.727577091785495
1,Alaska,18316,367,14480.0,315250.0,4.593180015860429
2,Arizona,426614,18857,114216.42857142857,2789520.0,4.532469750040042
3,Arkansas,161569,3301,35500.0,1210120.0,2.9335933626417217
4,California,2664110,102387,989560.0,17007690.0,5.818309247169957
5,Colorado,766512,37828,187050.0,2620640.0,7.137569448684291
6,Connecticut,1314995,104185,84100.0,1660200.0,5.0656547403927235
7,Delaware,234327,7813,26120.0,448510.0,5.823727453122561
8,District of Columbia,229466,10822,74030.0,712370.0,10.392071535859174
9,Florida,1726811,63147,304650.0,8608660.0,3.538878292324241
10,Georgia,1282091,54209,210710.0,4394740.0,4.794595357176989
11,Hawaii,31433,681,21400.0,641790.0,3.3344240327833092
12,Idaho,103987,2828,30230.0,706140.0,4.281020760755657
13,Illinois,2843621,122000,263930.0,5991270.0,4.405242961842815
14,Indiana,920434,53042,93489.28571428571,3048100.0,3.2442058704516774
15,Iowa,396980,9203,58180.0,1541700.0,3.7737562431082567
16,Kansas,231885,6527,57720.0,1375380.0,4.196658378048249
17,Kentucky,246480,11851,59080.0,1889870.0,3.1261409514940177
18,Louisiana,1443404,90609,46240.0,1913770.0,2.4161733123625098
19,Maine,61284,2451,21630.0,605550.0,3.5719593757740897
20,Maryland,1173802,56126,206360.0,2684010.0,7.688495944500952
21,Massachusetts,2929874,167711,249400.0,3571360.0,6.983334080014336
22,Michigan,2023047,171867,253850.0,4317830.0,5.879110571745529
23,Minnesota,377850,18934,154630.0,2867700.0,5.392126094082365
24,Mississippi,358459,15047,26270.0,1123830.0,2.3375421549522617
25,Missouri,395952,17924,125620.0,2804780.0,4.478782649619578
26,Montana,23875,676,17830.0,463280.0,3.8486444482818167
27,Nebraska,259429,3535,42200.0,978290.0,4.31364932688671
28,Nevada,259808,11975,32690.0,1347130.0,2.426640339091253
29,New Hampshire,117245,4507,34780.0,652920.0,5.326839429026527
30,New Jersey,5645458,332869,211240.0,4050170.0,5.2155835434068205
31,New Mexico,177827,6867,36630.0,811680.0,4.512862211709048
32,New York,15041806,1081194,401580.0,9385620.0,4.278673119090694
33,North Carolina,568719,19258,213120.0,4383210.0,4.862190038807176
34,North Dakota,55932,1219,14750.0,416550.0,3.540991477613732
35,Ohio,908834,47879,251630.0,5416810.0,4.645353999863388
36,Oklahoma,187462,10394,55920.0,1594370.0,3.5073414577544737
37,Oregon,134979,5067,94630.0,1886090.0,5.0172579251255245
38,Pennsylvania,2320771,127278,233815.0,5847690.0,4.126149624200237
39,Rhode Island,401931,14251,23310.0,482030.0,4.835798601746779
40,South Carolina,313173,11859,75750.0,2062280.0,3.673119072094963
41,South Dakota,122292,1121,14790.0,422310.0,3.5021666548270227
42,Tennessee,583792,10198,96060.0,2956920.0,3.2486506229454974
43,Texas,1553075,41267,581440.0,12113810.0,4.799811124658551
44,Utah,245859,2472,55681.42857142857,1455910.0,4.535938074093293
45,Vermont,45230,2320,12890.0,305210.0,4.223321647390321
46,Virginia,866807,28754,289420.0,3832840.0,7.551058744951525
47,Washington,807848,42371,242680.0,3259150.0,7.446113250387371
48,West Virginia,56158,1950,21770.0,696620.0,3.1250897189285407
49,Wisconsin,393823,15587,129060.0,2848560.0,4.53071025360182
50,Wyoming,28407,281,8440.0,269320.0,3.133818505866627
